timestamp,node_id,bs_idx,sf,bw,freq,rssi,snr,toa,energy_j,status,role
624544.63,72,0,7,500,867900000,-104.81,18.22,14.14,0.000355,RECEIVED,CM
627649.06,85,0,7,500,868500000,-120.11,2.92,14.14,0.000355,RECEIVED,CM
627723.8,42,0,7,500,867500000,-87.09,35.94,14.14,0.000355,RECEIVED,CM
631405.59,34,0,7,500,868500000,-123.06,-0.03,14.14,0.000355,LOST,CM
634648.23,8,0,7,500,868500000,-100.27,22.76,14.14,0.000355,RECEIVED,CM
634720.03,92,0,7,500,868500000,-93.36,29.67,14.14,0.000355,RECEIVED,CM
635549.07,84,0,7,500,867900000,-114.81,8.22,14.14,0.000355,RECEIVED,CM
635567.71,97,0,7,500,867900000,-128.62,-5.59,14.14,0.000355,LOST,CH
638101.86,35,0,7,500,867500000,-108.68,14.35,14.14,0.000355,RECEIVED,CM
642202.16,65,0,7,500,867100000,-106.95,16.08,14.14,0.000355,RECEIVED,CM
646003.98,29,0,7,500,867500000,-113.62,9.41,14.14,0.000355,RECEIVED,CM
646813.4,48,0,7,500,868500000,-111.76,11.27,14.14,0.000355,RECEIVED,CM
650606.02,91,0,7,500,867700000,-116.0,7.03,14.14,0.000355,RECEIVED,CM
652349.17,77,0,7,250,867700000,-123.41,-0.38,28.29,0.000711,RECEIVED,CM
662137.14,90,0,7,500,867300000,-117.67,5.36,14.14,0.000355,RECEIVED,CM
666429.15,39,0,7,500,867300000,-113.98,9.05,14.14,0.000355,RECEIVED,CM
669442.73,3,0,7,500,868100000,-85.42,37.61,14.14,0.000355,RECEIVED,CM
673243.15,88,0,7,500,867300000,-85.48,37.55,14.14,0.000355,RECEIVED,CM
674323.73,39,0,7,500,867900000,-114.71,8.32,14.14,0.000355,RECEIVED,CM
677158.39,65,0,7,500,867100000,-98.39,24.64,14.14,0.000355,RECEIVED,CM
677438.47,19,0,7,500,867100000,-114.63,8.4,14.14,0.000355,RECEIVED,CM
678824.02,24,0,7,500,867700000,-82.64,40.39,14.14,0.000355,RECEIVED,CM
683347.33,87,0,7,500,868100000,-116.76,6.27,14.14,0.000355,RECEIVED,CM
683371.01,77,0,7,500,867300000,-120.34,2.69,14.14,0.000355,RECEIVED,CM
687572.19,24,0,7,500,867900000,-99.69,23.34,14.14,0.000355,RECEIVED,CM
689345.04,7,0,7,125,867300000,-101.44,21.59,56.58,0.001421,RECEIVED,CM
690528.13,91,0,7,500,867300000,-108.08,14.95,14.14,0.000355,RECEIVED,CM
693328.16,10,0,7,500,868300000,-121.54,1.49,14.14,0.000355,LOST,CM
693578.77,90,0,7,500,867700000,-117.57,5.46,14.14,0.000355,RECEIVED,CM
696775.12,32,0,7,500,868100000,-115.75,7.28,14.14,0.000355,RECEIVED,CM
696836.48,20,0,7,500,868500000,-119.27,3.76,14.14,0.000355,RECEIVED,CM
698940.26,96,0,7,500,868500000,-103.43,19.6,14.14,0.000355,RECEIVED,CM
700150.66,82,0,7,500,867900000,-91.1,31.93,14.14,0.000355,RECEIVED,CM
702866.03,58,0,7,500,867500000,-107.8,15.23,14.14,0.000355,RECEIVED,CM
707213.16,90,0,7,500,867100000,-108.82,14.21,14.14,0.000355,RECEIVED,CM
707507.58,57,0,7,500,868500000,-124.15,-1.12,14.14,0.000355,LOST,CM
708428.68,39,0,7,500,867700000,-97.04,26.0,14.14,0.000355,RECEIVED,CM
714239.5,40,0,7,500,868300000,-110.21,12.82,14.14,0.000355,RECEIVED,CH
721121.82,29,0,7,500,868300000,-122.51,0.53,14.14,0.000355,LOST,CM
723098.07,62,0,7,500,868100000,-97.5,25.53,14.14,0.000355,RECEIVED,CM
727696.36,15,0,7,500,867300000,-118.65,4.38,14.14,0.000355,RECEIVED,CM
728152.38,61,0,7,500,868300000,-113.94,9.09,14.14,0.000355,RECEIVED,CM
730118.09,49,0,7,500,867900000,-109.51,13.52,14.14,0.000355,RECEIVED,CM
731366.07,11,0,7,500,868500000,-95.97,27.06,14.14,0.000355,RECEIVED,CM
735083.51,34,0,7,500,867100000,-118.48,4.55,14.14,0.000355,RECEIVED,CM
736070.1,52,0,7,500,867500000,-112.8,10.23,14.14,0.000355,RECEIVED,CM
739414.69,58,0,7,500,868300000,-102.9,20.13,14.14,0.000355,RECEIVED,CM
739892.47,36,0,7,500,868300000,-115.0,8.03,14.14,0.000355,RECEIVED,CM
740030.34,87,0,7,250,868100000,-118.78,4.25,28.29,0.000711,RECEIVED,CM
753067.74,97,0,7,250,868100000,-127.7,-4.66,28.29,0.000711,LOST,CH
755973.44,55,0,7,500,867700000,-110.56,12.47,14.14,0.000355,RECEIVED,CM
756237.86,30,0,7,500,867500000,-127.56,-4.53,14.14,0.000355,LOST,CM
759830.07,15,0,7,500,868300000,-113.22,9.82,14.14,0.000355,RECEIVED,CM
765761.08,7,0,7,500,868300000,-114.34,8.69,14.14,0.000355,RECEIVED,CM
772534.36,58,0,7,500,867300000,-106.46,16.57,14.14,0.000355,RECEIVED,CM
774437.36,34,0,7,250,868100000,-110.97,12.06,28.29,0.000711,RECEIVED,CM
780490.52,6,0,7,500,867900000,-113.24,9.79,14.14,0.000355,RECEIVED,CM
782635.95,38,0,7,500,868500000,-94.41,28.62,14.14,0.000355,RECEIVED,CM
785274.33,77,0,7,250,868300000,-111.72,11.31,28.29,0.000711,RECEIVED,CM
791580.92,60,0,12,125,867900000,-128.5,-5.47,1318.91,0.03313,RECEIVED,CM
805055.08,63,0,7,500,868300000,-122.92,0.11,14.14,0.000355,LOST,CM
805104.95,67,0,7,500,867900000,-113.97,9.06,14.14,0.000355,RECEIVED,CM
809750.79,72,0,7,500,868500000,-104.79,18.25,14.14,0.000355,RECEIVED,CM
812199.61,44,0,7,500,867300000,-133.07,-10.04,14.14,0.000355,LOST,CM
819008.33,3,0,7,500,868300000,-90.94,32.09,14.14,0.000355,RECEIVED,CM
821666.98,61,0,10,125,867700000,-122.66,0.37,370.69,0.009311,RECEIVED,CM
825899.37,20,0,7,500,868300000,-117.43,5.6,14.14,0.000355,RECEIVED,CM
828322.15,13,0,7,500,868500000,-104.56,18.47,14.14,0.000355,RECEIVED,CM
829506.17,39,0,7,500,867100000,-109.81,13.22,14.14,0.000355,RECEIVED,CM
830551.55,22,0,7,500,867100000,-101.74,21.29,14.14,0.000355,RECEIVED,CM
833596.36,89,0,7,500,867900000,-113.77,9.26,14.14,0.000355,RECEIVED,CM
835369.66,5,0,7,500,867700000,-121.58,1.45,14.14,0.000355,LOST,CM
838421.66,12,0,7,500,867500000,-97.81,25.22,14.14,0.000355,RECEIVED,CM
841920.02,23,0,7,500,868500000,-118.57,4.46,14.14,0.000355,RECEIVED,CM
849478.83,75,0,7,500,867300000,-126.2,-3.17,14.14,0.000355,LOST,CH
852670.6,80,0,7,500,867700000,-110.18,12.85,14.14,0.000355,RECEIVED,CM
853416.5,4,0,7,500,867700000,-110.29,12.74,14.14,0.000355,RECEIVED,CM
857462.84,47,0,7,500,867300000,-100.05,22.98,14.14,0.000355,RECEIVED,CM
869299.08,33,0,7,250,867100000,-120.0,3.03,28.29,0.000711,RECEIVED,CM
873763.91,72,0,7,500,867900000,-111.91,11.12,14.14,0.000355,RECEIVED,CM
874423.3,71,0,7,500,868300000,-109.18,13.85,14.14,0.000355,RECEIVED,CM
