node;gateway;RSSI;SNR;TOA;SF;BW;TXPOWER;FREQ;CHANNEL;DISTANCE;ENERGY;STATUS
62;0;-121.22743549165614;1.8034643782632997;370.688;10;125;14;868100000;868100000;2965.7756152480583;9.31126157523423;RECEIVED
46;0;-142.7645124294697;-19.733612559550266;185.344;10;250;14;868500000;868500000;4563.02465476574;4.655630787617115;LOST
71;0;-138.60403817953423;-15.57313830961479;329.728;11;250;14;867300000;867300000;2948.585593127661;8.282392892887906;LOST
64;0;-138.25498933268176;-15.224089462762322;56.57600000000001;7;125;14;867500000;867500000;4852.087488906192;1.4211248674908599;LOST
20;0;-117.82099053048006;5.209909339439378;741.376;11;125;14;868300000;868300000;1180.1461773865135;18.62252315046846;RECEIVED
4;0;-123.00399713793368;0.0269027319857571;92.672;9;250;14;867100000;867100000;2922.1404825914856;2.3278153938085575;RECEIVED
23;0;-128.9280167819462;-5.897116912026775;51.456;8;250;14;867700000;867700000;4929.675040000101;1.2925162821975693;LOST
87;0;-124.18602457182223;-1.1551247019027926;51.456;8;250;14;868300000;868300000;3415.774729106122;1.2925162821975693;RECEIVED
39;0;-119.93733061974106;3.0935692501783763;51.456;8;250;14;867300000;867300000;4429.459222072148;1.2925162821975693;RECEIVED
89;0;-124.15747371615532;-1.1265738462358854;185.344;9;125;14;868300000;868300000;3181.3325824251697;4.655630787617115;RECEIVED
48;0;-132.05057746183374;-9.019677591914302;741.376;11;125;14;867700000;867700000;3168.2652982349823;18.62252315046846;RECEIVED
26;0;-123.38457076311235;-0.35367089319291267;329.728;12;500;14;867500000;867500000;4287.268710962727;8.282392892887906;RECEIVED
22;0;-126.36102125502123;-3.3301213851017906;51.456;8;250;14;867500000;867500000;2238.8233516738205;1.2925162821975693;RECEIVED
55;0;-124.51476046642614;-1.4838605965067018;659.456;12;250;14;867500000;867500000;3472.5427283188324;16.56478578577581;RECEIVED
73;0;-138.756911047499;-15.72601117757955;329.728;12;500;14;868300000;868300000;4572.833804108783;8.282392892887906;LOST
57;0;-111.80524140336944;11.225658466550001;1318.912;12;125;14;867300000;867300000;3720.9990593925177;33.12957157155162;RECEIVED
85;0;-118.2065230250297;4.824376844889741;25.728;8;500;14;867700000;867700000;4760.471405228688;0.6462581410987847;RECEIVED
57;0;-124.8822895009686;-1.8513896310491589;1318.912;12;125;14;868100000;868100000;3720.9990593925177;33.12957157155162;RECEIVED
65;0;-128.97233518767132;-5.941435317751882;185.344;9;125;14;867700000;867700000;3136.311527893873;4.655630787617115;RECEIVED
55;0;-113.66677287484677;9.364126995072667;370.688;10;125;14;867500000;867500000;3472.5427283188324;9.31126157523423;RECEIVED
53;0;-121.86518193633464;1.1657179335848014;92.672;9;250;14;867900000;867900000;4784.6279897187405;2.3278153938085575;RECEIVED
8;0;-126.06446051648442;-3.033560646564979;51.456;8;250;14;868300000;868300000;3600.8554539164716;1.2925162821975693;RECEIVED
63;0;-118.44951584829641;4.581384021623023;25.728;8;500;14;867100000;867100000;4421.705666369031;0.6462581410987847;RECEIVED
35;0;-137.85559960193487;-14.824699732015432;185.344;9;125;14;867100000;867100000;3806.6963367203325;4.655630787617115;LOST
85;0;-140.98990001412005;-17.959000144200616;56.57600000000001;7;125;14;867100000;867100000;4760.471405228688;1.4211248674908599;LOST
63;0;-128.49562532453334;-5.464725454613898;28.288000000000004;7;250;14;868300000;868300000;4421.705666369031;0.7105624337454299;LOST
81;0;-129.70625119052488;-6.675351320605444;14.144000000000002;7;500;14;868500000;868500000;2437.4531790374967;0.35528121687271497;LOST
21;0;-140.80552933502835;-17.774629465108916;741.376;11;125;14;868500000;868500000;4916.362984971716;18.62252315046846;LOST
2;0;-134.82454903877797;-11.793649168858536;185.344;10;250;14;868500000;868500000;4728.986783656727;4.655630787617115;LOST
81;0;-124.4251325440597;-1.3942326741402553;46.336;9;500;14;868300000;868300000;2437.4531790374967;1.1639076969042788;RECEIVED
